000418.SZ,小天鹅A
000419.SZ,通程控股
000420.SZ,吉林化纤
000753.SZ,漳州发展
000556.SZ,PT南洋
000559.SZ,万向钱潮
000560.SZ,昆百大A
000561.SZ,烽火电子
000562.SZ,宏源证券
000563.SZ,陕国投A
000565.SZ,渝三峡A
000567.SZ,海德股份
000568.SZ,泸州老窖
000569.SZ,长城股份
000570.SZ,苏常柴A
000571.SZ,新大洲A
000572.SZ,海马汽车
002033.SZ,丽江旅游
002034.SZ,美欣达
000858.SZ,五粮液
000859.SZ,国风塑业
002002.SZ,鸿达兴业
002003.SZ,伟星股份
000573.SZ,粤宏远A
000680.SZ,山推股份
000681.SZ,视觉中国
000969.SZ,安泰科技
000970.SZ,中科三环
000973.SZ,佛塑科技
000975.SZ,银泰资源
000978.SZ,桂林旅游
000682.SZ,东方电子
000683.SZ,远兴能源
000685.SZ,中山公用
000686.SZ,东北证券
000688.SZ,建新矿业
000689.SZ,ST宏业
000690.SZ,宝新能源
000692.SZ,惠天热电
000695.SZ,滨海能源
001696.SZ,宗申动力
000979.SZ,中弘股份
000980.SZ,金马股份
000981.SZ,银亿股份
000982.SZ,中银绒业
000983.SZ,西山煤电
000985.SZ,大庆华科
000988.SZ,华工科技
000989.SZ,九芝堂
000990.SZ,诚志股份
000663.SZ,永安林业
000665.SZ,湖北广电
000668.SZ,荣丰控股
000669.SZ,金鸿能源
000671.SZ,阳光城
000672.SZ,上峰水泥
300205.SZ,天喻信息
002060.SZ,粤水电
002035.SZ,华帝股份
002037.SZ,久联发展
002038.SZ,双鹭药业
000735.SZ,罗牛山
000737.SZ,南风化工
000738.SZ,中航动控
000739.SZ,普洛药业
000750.SZ,国海证券
000751.SZ,锌业股份
000752.SZ,西藏发展
002307.SZ,北新路桥
000759.SZ,中百集团
000100.SZ,TCL集团
000882.SZ,华联股份
000866.SZ,扬子石化
000868.SZ,安凯客车
000869.SZ,张裕A
000875.SZ,吉电股份
000876.SZ,新希望
000877.SZ,天山股份
000878.SZ,云南铜业
000880.SZ,潍柴重机
000756.SZ,新华制药
000757.SZ,浩物股份
000758.SZ,中色股份
000697.SZ,炼石有色
000698.SZ,沈阳化工
000699.SZ,S*ST佳纸
000700.SZ,模塑科技
000701.SZ,厦门信达
000993.SZ,闽东电力
000996.SZ,中国中期
000997.SZ,新大陆
000999.SZ,华润三九
000702.SZ,正虹科技
000703.SZ,恒逸石化
000707.SZ,双环科技
000708.SZ,大冶特钢
000712.SZ,锦龙股份
000713.SZ,丰乐种业
000716.SZ,黑芝麻
002183.SZ,怡亚通
000513.SZ,丽珠集团
000430.SZ,张家界
000488.SZ,晨鸣纸业
000498.SZ,山东路桥
000501.SZ,鄂武商A
000502.SZ,绿景控股
000503.SZ,海虹控股
000506.SZ,中润资源
000507.SZ,珠海港
000509.SZ,华塑控股
002176.SZ,江特电机
300213.SZ,佳讯飞鸿
002544.SZ,杰赛科技
002122.SZ,天马股份
002108.SZ,沧州明珠
002115.SZ,三维通信
002114.SZ,罗平锌电
002265.SZ,西仪股份
002125.SZ,湘潭电化
002121.SZ,科陆电子
002112.SZ,三变科技
002091.SZ,江苏国泰
002145.SZ,中核钛白
002077.SZ,大港股份
002263.SZ,大东南
002463.SZ,沪电股份
002202.SZ,金风科技
300229.SZ,拓尔思
002215.SZ,诺普信
002132.SZ,恒星科技
002213.SZ,特尔佳
002189.SZ,利达光电
002138.SZ,顺络电子
002151.SZ,北斗星通
002156.SZ,通富微电
002161.SZ,远望谷
002436.SZ,兴森科技
002583.SZ,海能达
002210.SZ,飞马国际
002273.SZ,水晶光电
002150.SZ,通润装备
002165.SZ,红宝丽
002362.SZ,汉王科技
002118.SZ,紫鑫药业
002461.SZ,珠江啤酒
002258.SZ,利尔化学
002264.SZ,新华都
002249.SZ,大洋电机
